,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,EEG P9,EEG P10,MK
EEG Fp1,1.0,0.8767522118459579,0.3927900960896118,0.23702247884386268,0.33594252973294814,0.8218220952487939,0.6737441045018289,0.42530487534966066,0.4916567056654319,0.7723943432282498,-0.017739620803572227,0.4603287631895737,0.8142925401733034,0.8318058941745634,-0.3264647869097239,0.030504758301834897,0.6638023382724868,0.22972262339041175,0.1511661956383234,0.31888892423090814,0.7075911488115487,0.5451619927904591,0.30233219878083945,0.2736118743030914,0.5404110741599494,-0.07383796719943332,0.3114774525220723,0.7000901790713788,,,0.2339262042668107,0.1015613042527933,0.9072833980049946,-0.06233949165783498,-0.06238574686340545,0.005003068974868051
EEG F3,0.8767522118459579,1.0,0.5739836060988737,0.2931769419292377,0.32947170445672713,0.8740925367041765,0.7466866655793002,0.4655138938170051,0.7233756802579773,0.8820234845669017,0.059364827453641814,0.546543275368064,0.7590199869550509,0.7548523197695658,-0.3461250256879628,0.032454142532465376,0.48909047371523656,0.09237086755528692,0.07886043259153921,0.2883539095902435,0.5520793833749773,0.40588940550262426,0.2398972787278291,0.06669593443724567,0.37596689760330054,-0.11756881654042924,0.19491970979339077,0.5435720450380523,,,0.17242954175274974,0.06091366907177941,0.6962912490552091,-0.007406878735728546,-0.008277082883335181,0.01255715000999285
EEG C3,0.3927900960896118,0.5739836060988737,1.0,0.8462907344028495,0.746294282929621,0.6674837687848794,0.7978750459057637,0.8214747552727057,0.6690385798924784,0.7483951776262217,0.7675363224253875,0.914946240499944,0.6316586385781519,0.03780405539172667,0.3343682512578186,0.6591585118654391,0.027055647060320993,0.3560292665792892,0.5437867265244722,0.6924089218439294,0.2601716512845455,0.3780832603350357,0.5827728418342938,-0.11249231243907729,0.26850087432457576,0.5141815513303588,0.47773460463700523,0.4133241936718295,,,0.15397944082284648,0.025015413032109073,0.20667578770726808,0.08644226853901162,0.08131990671147973,0.008711658351105427
EEG P3,0.23702247884386268,0.2931769419292377,0.8462907344028495,1.0,0.9176632335898742,0.46680447268394876,0.6679781358056788,0.8932891845867841,0.39235771957342436,0.513068885759912,0.9134752827655437,0.9127577649522725,0.5173784989070587,-0.11331019832412405,0.5184252856529514,0.9187663478811411,0.03275050139360751,0.5667617878128247,0.8056131544992479,0.8850814215786068,0.2487103496549664,0.454736907582106,0.7728098773068776,0.06511588158037722,0.34177181287245034,0.7960997936872526,0.6834993424259519,0.41346112366758153,,,0.14653553530791416,0.009715606504808127,0.1440565449303122,0.10825307064770212,0.10152999813431053,0.007386429465477837
EEG O1,0.33594252973294814,0.32947170445672713,0.746294282929621,0.9176632335898742,1.0,0.5625822814727988,0.733515646329606,0.9568150297561371,0.32777748506060767,0.5725780292308864,0.7530815156718721,0.8927059854591544,0.6444310894733867,-0.007511390424938614,0.4221566300041382,0.8149672249064586,0.18761557656758066,0.6306581754198632,0.8185470568043174,0.9745413893950747,0.42630910609721717,0.6146769233925593,0.894505583391467,0.19054047284415146,0.5030821938029117,0.7016496269105551,0.7753028456379936,0.5911355360069132,,,0.16148559722108946,-0.016615571555342573,0.28192615697644635,0.02349079570657319,0.017150398273953458,0.01537951656191754
EEG F7,0.8218220952487939,0.8740925367041765,0.6674837687848794,0.46680447268394876,0.5625822814727988,1.0,0.9270342292882079,0.6935575988331586,0.5718414994916985,0.956757897118031,0.23725060694995434,0.7276724246670652,0.9386200492222138,0.5583781468248254,-0.12323842231405244,0.22173288965668522,0.5133482016352533,0.34909437487072437,0.3071365185614743,0.5366108560957012,0.7115334195364317,0.6470374716880992,0.5064512604265325,0.16250521665137863,0.5753735269081098,0.11853732336033283,0.4532850778312725,0.7634167842375351,,,0.2575171113227818,0.08448076730342924,0.6875974766937009,0.0015755309544290819,-0.0019968400871539474,0.024767525006140028
EEG T3,0.6737441045018289,0.7466866655793002,0.7978750459057637,0.6679781358056788,0.733515646329606,0.9270342292882079,1.0,0.8581690734172962,0.5501969795582284,0.9205505531868193,0.44779227368009195,0.8909816309823729,0.9049757176959213,0.37274900283417384,0.06974315913246797,0.422427376433939,0.38756657757584045,0.45315632643744624,0.47339236088713527,0.691935985108793,0.6275440692445812,0.6656916558769739,0.6429119621231874,0.1535375320928084,0.5662270738724006,0.3119002728345303,0.5760683196457065,0.7314727192494673,,,0.23455471344929393,0.06767940104213217,0.543082564493567,0.016279401550502098,0.01041684781210858,0.024454242726920154
EEG T5,0.42530487534966066,0.4655138938170051,0.8214747552727057,0.8932891845867841,0.9568150297561371,0.6935575988331586,0.8581690734172962,1.0,0.4093597189439817,0.7012994544023632,0.7046735599547694,0.9567228876143423,0.7343049677822924,0.0865161646643527,0.3175036472060073,0.7160889266431917,0.23176915193412528,0.585613774181289,0.7086938418543683,0.9071991933897915,0.4830683784726119,0.6384954609731057,0.8392046618276744,0.15362169395691067,0.5186313396815049,0.5950476047976961,0.7208814903499731,0.6338303274023965,,,0.17593208407482883,-0.0020470948368379177,0.34009109331165954,0.06397020768403955,0.05794818499010532,0.01848452893344013
EEG Fc1,0.4916567056654319,0.7233756802579773,0.6690385798924784,0.39235771957342436,0.32777748506060767,0.5718414994916985,0.5501969795582284,0.4093597189439817,1.0,0.6977361062091316,0.2995751815327852,0.5284055080045034,0.45901522291876584,0.3318393370846197,0.023602031077756987,0.19607987200132718,0.0325717720115,-0.09947378731703667,0.19416698246812086,0.2540984172937437,0.13510018937713958,0.0744868313305997,0.15882638348273917,-0.22185777199698184,0.05055147247942058,0.003686932651224799,0.11528298737140986,0.20251448899740385,,,0.08796610772814205,0.015623364534262137,0.26789529795416084,-0.27134632065376363,-0.2736546233532026,0.01443188536959651
EEG Fc5,0.7723943432282498,0.8820234845669017,0.7483951776262217,0.513068885759912,0.5725780292308864,0.956757897118031,0.9205505531868193,0.7012994544023632,0.6977361062091316,1.0,0.304998522136312,0.764832144688167,0.8820093666627284,0.5106123086264803,-0.07383677736821347,0.2558408823608119,0.4210827140422751,0.2903542879240906,0.3251987671461107,0.5266746106810928,0.6095841852571544,0.5612933303001033,0.47486366604910696,0.08722778202656717,0.4957380839968887,0.12600305186386498,0.4230391111741791,0.6749653710228436,,,0.2282644841114548,0.07313997288353914,0.6091468899648751,-0.07015671649478479,-0.07376467412274285,0.018968223320155478
EEG Cp1,-0.017739620803572227,0.059364827453641814,0.7675363224253875,0.9134752827655437,0.7530815156718721,0.23725060694995434,0.44779227368009195,0.7046735599547694,0.2995751815327852,0.304998522136312,1.0,0.7517103182587705,0.29650351369303407,-0.38760968992227957,0.7057758716779773,0.934795979002944,-0.21015614075423422,0.4769287991278243,0.7457304171928846,0.7375264838801482,0.014578110088007669,0.2549686802131633,0.629140307690702,-0.08490519848589705,0.14076270380002812,0.8711964525968579,0.5540223183154807,0.1964186137559636,,,0.0996447927808471,0.007068997275156468,-0.11129532644683841,0.15042418278088515,0.14310700052064373,0.00443008525433373
